ID,TeamNumber,MatchNumber,ScoutName,AutoNumberOfCycles,AutoShootingSpeed,AutoBallsPerCycle,AutoAccuracy,AutoRobotSpeed,AutoClimbingLevel,TeleNumberOfCycles,TeleShootingSpeed,TeleBallsPerCycle,TeleAccuracy,TeleRobotSpeed,TeleClimbingLevel,Score,Comments
279,133,21,Colby,1.00,3.00,3.00,3.00,3.00,0.00,4.00,3.00,3.00,3.00,3.00,0.00,5.00,Can pick from the floor. Got a fuel stuck inside. Tried to climb but failed. Can go underneath trench. 
280,5735,22,Colby,0.00,1.00,0.00,2.00,0.00,0.00,8.00,2.00,1.00,2.00,2.00,0.00,3.00,Can pick from the floor. Missed shooting fuel into hub a lot. Can go underneath trench. 
281,8626,23,Colby,0.00,2.00,0.00,3.00,0.00,0.00,2.00,1.00,1.00,2.00,1.00,0.00,2.00,Can pick from the outpost. Missed shooting fuel into hub a lot. Dropped fuel a lot. Can go underneath trench. Had problems with intake.
282,78,24,Colby,0.00,0.00,0.00,0.00,2.00,0.00,0.00,0.00,0.00,0.00,2.00,0.00,1.00,Can pick from the floor. Played defense. Never shot fuel.
283,3958,25,Colby,0.00,0.00,0.00,0.00,3.00,0.00,3.00,2.00,1.00,1.00,3.00,0.00,1.00,Can pick from the floor. Missed shooting fuel into hub a lot. Can go underneath trench. Had technical issues. Got stuck on bump.
284,133,26,Zander,1.00,0.00,0.00,0.00,0.00,0.00,5.00,3.00,3.00,3.00,3.00,0.00,5.00,Tried to climb but failed. 
285,5735,27,Colby,0.00,1.00,0.00,1.00,0.00,0.00,2.00,1.00,2.00,1.00,2.00,0.00,1.00,Can pick from the floor. Missed shooting fuel into hub a lot. Can go underneath trench. Played defense. Had technical issues. 
286,88,28,Colby,3.00,2.00,2.00,3.00,2.00,0.00,4.00,2.00,2.00,3.00,2.00,0.00,3.00,Can pick from the floor. Can go underneath trench. Played defense and offense well.
287,6201,29,Zander,0.00,0.00,0.00,0.00,0.00,0.00,2.00,1.00,1.00,1.00,2.00,0.00,0.00,Intake fell off :(
288,11483,30,Zander,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.00,0.00,0.00,Just a base. can't score. played defense. got stuck on the opposing ramp
289,3958,31,Zander,1.00,2.00,1.00,1.00,0.00,0.00,2.00,2.00,1.00,1.00,1.00,0.00,1.00,
290,2084,32,Zander,1.00,2.00,2.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,Pushed balls and mild defense
291,6201,33,Zander,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Didn't move. 
292,3566,34,Colby,1.00,1.00,2.00,3.00,1.00,0.00,5.00,1.00,2.00,3.00,2.00,0.00,3.00,Can pick from the floor. Can pick from the outpost. Can go underneath trench. Didn't shoot a lot but never missed a shot.
293,1922,35,Colby,0.00,1.00,2.00,0.00,1.00,0.00,6.00,1.00,2.00,3.00,2.00,0.00,3.00,Can pick from the floor. Can go underneath trench. Missed all auto shots. Slow shooting but good shots.
294,10156,36,Colby,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,1.00,2.00,0.00,1.00,Can pick from the floor. Missed shooting fuel into hub a lot. Dropped fuel a lot. Can go underneath trench. Struggled to shoot.
295,8626,37,Colby,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,3.00,1.00,0.00,1.00,Can pick from the floor. Can pick from the outpost. Got a fuel stuck inside. Dropped fuel a lot. Can go underneath trench. Played defense. Shot 6 balls the entire game. No auto.
296,133,38,louid,1.00,3.00,3.00,2.00,3.00,0.00,6.00,3.00,3.00,2.00,3.00,0.00,5.00,Can pick from the floor. Can go underneath trench. 
